Item,Count
Multidisciplinary,298
Physics  Astronomy,47
Medicine,47
Veterinary,39
Nuclear  High Energy Physics,34
Dentistry,26
Stware Human-Computer Interaction Computer Vision  Pattern Recognition Computer Networks  Communications,24
Engineering,19
Biochemistry Genetics  Molecular Biology,16
Critical Care  Intensive Care Medicine,12
Cardiology  Cardiovascular Medicine,12
Astronomy  Astrophysics Space  Planetary Science,11
Dermatology,10
Health Policy Public Health Environmental  Occupational Health,10
Complementary  Alternative Medicine,10
Analytical Chemistry Chemistry  Molecular Medicine Pharmaceutical Science Drug Discovery Physical  Theoretical Chemistry Organic Chemistry,9
Chemical Engineering  Waste Management  Disposal Pollution Process Chemistry  Technology,9
Food Science,8
Immunology  Allergy Immunology,8
Surgery Orthopedics  Sports Medicine,8
Energy,8
Renewable Energy Sustainability   Environment Fuel Technology Condensed Matter Physics Energy Engineering  Power Technology,8
Chemistry  Chemical Engineering,8
Geography Planning  Development Environmental Science,7
Chemistry  Polymers  Plastics,7
Gastroenterology,7
Plant Science,7
Pharmacology,7
Social Sciences,7
Public Health Environmental  Occupational Health,7
Food Science Nutrition  Dietetics,7
Hematology,7
Materials Science  Engineering,6
Public Health Environmental  Occupational Health Infectious Diseases,6
Mamatics,6
Environmental Science  Earth  Planetary Sciences,6
Materials Science  Mechanics  Materials Materials Chemistry,6
Materials Science  Condensed Matter Physics Mechanics  Materials Mechanical Engineering,6
Earth  Planetary Sciences,6
Nephrology,6
Health Policy,6
Artificial Intelligence,6
Animal Science  Zoology Veterinary,5
Renewable Energy Sustainability   Environment,5
Computer Science  Geography Planning  Development Renewable Energy Sustainability   Environment Building  Construction Environmental Science  Energy Engineering  Power Technology Hardware  Architecture Computer Networks  Communications Management Monitoring Policy  Law,5
Infectious Diseases Virology,5
Structural Biology Biochemistry Molecular Biology,5
Pharmaceutical Science,5
Organic Chemistry Polymers  Plastics Materials Chemistry,5
Mechanics  Materials Mechanical Engineering Metals  Alloys Materials Chemistry,5
Aquatic Science Plant Science,5
Aquatic Science,5
Statistics  Probability Information Systems Education Computer Science Applications Statistics Probability  Uncertainty Library  Information Sciences,5
Economics  Econometrics,5
Chemistry,5
Orthopedics  Sports Medicine,5
Pollution Public Health Environmental  Occupational Health Health Toxicology  Mutagenesis,5
Infectious Diseases Pharmacology,5
Catalysis Molecular Biology Spectroscopy Computer Science Applications Physical  Theoretical Chemistry Organic Chemistry Inorganic Chemistry,5
Chemistry  Chemical Engineering  Industrial  Manufacturing Engineering,5
Surgery,5
Environmental Engineering Environmental Chemistry Waste Management  Disposal Pollution,5
Ecology Evolution Behavior  Systematics Plant Science,5
Renewable Energy Sustainability   Environment Environmental Science  Strategy  Management Industrial  Manufacturing Engineering,4
Reproductive Medicine Obstetrics  Gynecology,4
Oncology Cancer Research,4
Civil  Structural Engineering Architecture Building  Construction Safety Risk Reliability  Quality Mechanics  Materials,4
Psychiatry  Mental Health,4
Chemistry  Chemical Engineering  Physics  Astronomy,4
Pharmacy Health Policy,4
Computer Networks  Communications Electrical  Electronic Engineering Computer Vision  Pattern Recognition,4
Pediatrics Perinatology  Child Health,4
Obstetrics  Gynecology,4
Physical Therapy Sports Therapy  Rehabilitation,4
Environmental Engineering Environmental Chemistry Chemistry  Pollution Public Health Environmental  Occupational Health Health Toxicology  Mutagenesis,4
Engineering  Physics  Astronomy,4
Hematology Oncology Cancer Research,4
Bioengineering Environmental Engineering Renewable Energy Sustainability   Environment Waste Management  Disposal,4
Parasitology Infectious Diseases,4
Pharmacology Pharmacology,4
Ophthalmology,4
Radiology Nuclear Medicine  Imaging,4
Analytical Chemistry Spectroscopy,4
Nursing,4
Neurology Neurology,4
Epidemiology Oncology Public Health Environmental  Occupational Health Cancer Research,4
Genetics  Pharmacology,4
Oncology,4
Computer Graphics  Computer-Aided Design,4
Chemistry  Environmental Chemistry Chemical Engineering  Renewable Energy Sustainability   Environment,3
Modeling  Simulation Social Sciences  Human-Computer Interaction,3
Hepatology,3
Immunology  Allergy Immunology Infectious Diseases,3
Biochemistry Environmental Science,3
Condensed Matter Physics Surfaces  Interfaces Surfaces Coatings  Films,3
Civil  Structural Engineering Architecture Building  Construction Safety Risk Reliability  Quality,3
Analytical Chemistry,3
Computer Science  Engineering,3
Materials Science  Mechanics  Materials Mechanical Engineering,3
Hepatology Gastroenterology,3
Chemical Engineering  Fuel Technology Energy Engineering  Power Technology Organic Chemistry,3
Electronic Optical  Magnetic Materials Atomic  Molecular Physics  Optics Condensed Matter Physics Spectroscopy Physical  Theoretical Chemistry Materials Chemistry,3
Environmental Engineering Waste Management  Disposal Management Monitoring Policy  Law,3
Pathology  Forensic Medicine Genetics,3
Chemistry  Mamatics  Materials Science  Biochemistry Genetics  Molecular Biology  Physics  Astronomy,3
Chemical Engineering  Materials Science,3
Ecology Evolution Behavior  Systematics Ecology Plant Science,3
Spectroscopy Physical  Theoretical Chemistry Computer Graphics  Computer-Aided Design Materials Chemistry,3
Microbiology  Infectious Diseases,3
Surgery Neurology,3
Infectious Diseases,3
Internal Medicine Endocrinology Diabetes  Metabolism Public Health Environmental  Occupational Health,3
Chemical Engineering  Electrochemistry,3
Psychiatry  Mental Health Cellular  Molecular Neuroscience Biological Psychiatry,3
Medicine  Biochemistry Genetics  Molecular Biology,3
Geography Planning  Development Renewable Energy Sustainability   Environment Environmental Science  Energy Engineering  Power Technology Management Monitoring Policy  Law,3
Physics  Astronomy  Polymers  Plastics Organic Chemistry Materials Chemistry,3
Chemistry  Environmental Chemistry Chemical Engineering  Industrial  Manufacturing Engineering,3
Pharmacology Biological Psychiatry,3
Molecular Medicine Immunology  Microbiology  Veterinary  Public Health Environmental  Occupational Health Infectious Diseases,3
Materials Science,3
Biotechnology Applied Microbiology  Biotechnology,3
Energy Engineering  Power Technology Electrical  Electronic Engineering Hardware  Architecture,3
Biotechnology Food Science,3
Microbiology Microbiology,3
Bioengineering Biomaterials Organic Chemistry Polymers  Plastics,3
Immunology Environmental Chemistry Aquatic Science Immunology  Microbiology,3
